name,code,source,symbol,cache_version,rows,start_date,end_date,last_close,cum_return_pct,annualized_return_pct,max_drawdown_pct,max_drawdown_peak_date,max_drawdown_trough_date,reference_fit_score,reference_fit_note,reference_base_date,reference_publish_date,reference_weighting,reference_total_return_annualized_pct,reference_max_drawdown_pct,reference_max_drawdown_dates,annualized_gap_pp,max_drawdown_gap_pp,strict_total_return_only
上证红利指数（50）,000015,csindex,H00015,2026-05-04-dividend-total-return-strict-csindex-date-v3,4824,2006-06-28,2026-04-30,7618.7,510.8790301242019,9.55135154684652,73.83583461379247,2007-10-15,2008-11-04,0.020731146257245925,sliced_to_match_reference,2004-12-31,2005-01-04,股息率加权,9.57,73.84,2007-10-15、2008-11-04,-0.01864845315347985,-0.004165386207532151,True
中证红利指数（100）,000922,rising99,H00922,2026-05-04-dividend-total-return-strict-csindex-date-v3,5203,2005-01-04,2026-04-30,12.560321021236712,1156.0321021236978,12.60439935319817,71.59697131751601,2007-10-16,2008-11-04,0.17591369444016358,full_history_matches_reference,2004-12-31,2008-05-26,股息率加权,12.43,71.6,2007-10-16、2008-11-04,0.17439935319817046,-0.0030286824839862447,True
央企红利指数（50）,000825,rising99,H00825,2026-05-04-dividend-total-return-strict-csindex-date-v3,2270,2017-01-26,2026-04-30,3.4762251672885705,101.6932927345521,7.873773113954141,26.466209116719963,2019-04-17,2020-05-22,0.00812232768587684,sliced_to_match_reference,2008-12-31,2012-07-20,股息率加权,7.88,26.47,2019-04-17、2020-05-22,-0.006226886045858748,-0.0037908832800361836,True
国企红利指数（100）,000824,rising99,H00824,2026-05-04-dividend-total-return-strict-csindex-date-v3,2273,2017-01-24,2026-04-30,4.429445905939979,128.8978985456451,9.352620751139096,26.794434901277818,2018-01-26,2018-10-18,0.0095966994998129,sliced_to_match_reference,2009-06-30,2012-07-20,股息率加权,9.36,26.79,2018-01-26、2018-10-18,-0.007379248860903687,0.004434901277818426,True
港股通央企红利指数（48）,931722,csindex,931722HKD210,2026-05-04-dividend-total-return-strict-csindex-date-v3,2110,2018-02-01,2026-04-30,2662.21,112.30083414408551,9.565575054351116,42.72020102529104,2018-06-07,2020-03-19,0.24265708650382442,sliced_to_match_reference,2016-12-30,2023-09-13,市值加权,9.53,42.72,2019-04-17、2020-05-22,0.035575054351117075,0.00020102529104093492,True
消费红利指数（50）,H30094,rising99,H20094,2026-05-04-dividend-total-return-strict-csindex-date-v3,2572,2015-11-03,2026-04-30,5.791693171007222,226.49341113660083,11.94201427646082,36.558235334561154,2022-01-04,2024-09-18,0.0028966091802455907,sliced_to_match_reference,2005-12-30,2013-07-02,股息率加权,11.94,36.56,2022-01-04、2024-09-18,0.002014276460821307,-0.0017646654388485672,True
龙头红利指数（50）,995082,chindices_return,995082,2026-05-04-dividend-total-return-strict-csindex-date-v3,3527,2011-10-24,2026-04-30,8005.24,864.3473232785636,16.896889998514663,36.07586865200976,2015-06-12,2015-08-25,0.008955672509781465,sliced_to_match_reference,2010-12-31,2021-12-17,因子加权,16.89,36.08,2015-06-12、2015-08-25,0.00688999851466221,-0.00413134799023851,True
红利质量指数（50）,931468,rising99,921468,2026-05-04-dividend-total-return-strict-csindex-date-v3,2894,2014-06-23,2026-04-30,56.50191661180072,528.7673857171444,16.780643783330174,39.02215541833286,2015-06-12,2015-09-15,0.031721492496600945,sliced_to_match_reference,2004-12-31,2020-05-21,因子加权,16.75,39.02,2015-06-12、2015-09-15,0.03064378333017359,0.0021554183328547083,True
港股红利指数（30）,930914,rising99,H20914,2026-05-04-dividend-total-return-strict-csindex-date-v3,2749,2014-11-14,2026-04-30,3.862322166666667,286.23221666666427,12.516905893541242,39.29690689757523,2018-01-26,2022-10-31,,no_reference,2014-11-14,2016-06-08,股息率加权,,,,,,True
中证红利低波动指数（50）,H30269,rising99,H20269,2026-05-04-dividend-total-return-strict-csindex-date-v3,2242,2017-03-13,2026-04-30,23.9599088,117.71443317704357,8.894385757235224,27.527593189401944,2018-01-26,2018-10-18,0.015589162534251244,sliced_to_match_reference,2005-12-30,2013-12-19,股息率加权,8.88,27.53,2018-01-26、2018-10-18,0.01438575723522284,-0.0024068105980568077,True
中证红利低波动指数（100）,930955,rising99,H20955,2026-05-04-dividend-total-return-strict-csindex-date-v3,2568,2015-11-09,2026-04-30,23.192390200000002,110.25501967254714,7.354218418544245,26.174383118484947,2018-01-26,2018-10-18,0.007973140698227965,sliced_to_match_reference,2005-12-30,2017-05-26,股息率、波动率加权,7.36,26.17,2018-01-26、2018-10-18,-0.005781581455755358,0.004383118484945214,True
沪港深红利成长低波动指数（100）,931157,csindex,H21157,2026-05-04-dividend-total-return-strict-csindex-date-v3,2277,2017-05-19,2026-04-30,11850.84,123.69403090722724,9.41562245437584,26.157343197333482,2018-01-24,2020-03-19,0.005705946957419883,sliced_to_match_reference,2014-11-14,2019-04-25,股息率加权,9.42,26.16,2018-01-24、2020-03-19,-0.004377545624160817,-0.002656802666518132,True
中证全指自由现金流指数（100）,932365,csindex,932365CNY010,2026-05-04-dividend-total-return-strict-csindex-date-v3,2822,2014-09-17,2026-04-30,9158.95,670.7412924019459,19.21961636982925,44.06503877400295,2015-06-12,2016-01-28,0.0029030171722226328,sliced_to_match_reference,2013-12-31,2024-12-11,自由现金流加权,19.22,44.06,2015-06-12、2016-01-28,-0.00038363017074871664,0.005038774002947832,True
国证自由现金流指数（100）,980092,cni,480092,2026-05-04-dividend-total-return-strict-csindex-date-v3,2809,2014-10-13,2026-04-30,9011.7777,668.8703325190261,19.323784929789568,50.1948024425376,2015-06-12,2016-01-28,0.008616291479231819,sliced_to_match_reference,2012-12-31,2024-08-15,自由现金流加权,19.33,50.19,2015-06-12、2016-01-28,-0.00621507021043044,0.004802442537602758,True
